,element_id,sentiment
1,1,0.165404909
2,2,0.172618937
3,3,-0.023990654
4,4,0.665268149
5,5,0.165404909
6,6,0.197584574
7,7,-0.033407655
8,8,0.868105807
9,9,0.212648644
10,10,0.348845232
11,11,0.348845232
12,12,-0.002145899
13,13,0
14,14,0.040915854
15,15,-0.057353933
16,16,-0.057353933
17,17,-0.041666667
18,18,-0.002145899
19,19,-0.002145899
20,20,0.868105807
21,21,0.267665345
22,22,0.267665345
23,23,0.868105807
24,24,0.086752762
25,25,0
26,26,0.160712384
27,27,0.086066297
28,28,0.086066297
29,29,0.086066297
30,30,0.178885438
31,31,0.315746592
32,32,0.315746592
33,33,0.315746592
34,34,0.086752762
35,35,0.15
36,36,0.348845232
37,37,0.348845232
38,38,0.348845232
39,39,0.086752762
40,40,0.086752762
41,41,0.086752762
42,42,0.091766294
43,43,0.086752762
44,44,0.086752762
45,45,0.086752762
46,46,0.185223922
47,47,0.052128604
48,48,0.086752762
49,49,0.023549099
50,50,0.086752762
51,51,0.086752762
52,52,0.086752762
53,53,0.086752762
54,54,0.086752762
55,55,0.023549099
56,56,0.654149393
57,57,0.149240501
58,58,0.385677654
59,59,0.385677654
60,60,0.043759497
61,61,0.043759497
62,62,0.043759497
63,63,0.232379001
64,64,0.303105745
65,65,0.267665345
66,66,-0.094491118
67,67,-0.094491118
68,68,0.359393252
69,69,0.267665345
70,70,0.055847521
71,71,0.126773138
72,72,0.267665345
73,73,0.164323522
74,74,0.267665345
75,75,0
76,76,0
77,77,0.220970869
78,78,-0.027130979
79,79,0
80,80,0
81,81,0
82,82,0.395799492
83,83,0.228217732
84,84,0.273918327
85,85,-0.063245553
86,86,0.284018779
87,87,0.296730148
88,88,0.119705585
89,89,0.33268704
90,90,0.203269207
91,91,0.082038073
92,92,0
93,93,0.046875
94,94,0
95,95,0.149120227
96,96,0.195217202
97,97,0.136386181
98,98,0.136386181
99,99,0.049518757
100,100,-0.01681682
101,101,-0.018430245
102,102,-0.007365696
103,103,0
104,104,0.049518757
105,105,0.049518757
106,106,0.136386181
107,107,0
108,108,0.136386181
109,109,-0.041587407
110,110,-0.092284732
111,111,0.090405258
112,112,0
113,113,-0.378708325
114,114,-0.100576924
115,115,-0.11083413
116,116,-0.095022772
117,117,0
118,118,0.302371578
119,119,0.136386181
120,120,0
121,121,0
122,122,0.049518757
123,123,0.302371578
124,124,0.055901699
125,125,0.302371578
126,126,0
127,127,0.049518757
128,128,0.302371578
129,129,0.136386181
130,130,0
131,131,-0.018430245
132,132,0
133,133,0
134,134,0.136386181
135,135,-0.214285714
136,136,-0.378708325
137,137,-0.095592264
138,138,0.035486327
139,139,0.334251609
140,140,0
141,141,-0.222907725
142,142,-0.072672209
143,143,0.008006408
144,144,0.009249242
145,145,0.058834841
146,146,0
147,147,0.090405258
148,148,0.06882472
149,149,0.141421356
150,150,0.055969502
151,151,0.011858541
152,152,-0.100576924
153,153,-0.073190797
154,154,-0.157841037
155,155,-0.095022772
156,156,0.048112522
157,157,-0.059354799
158,158,0.179436156
159,159,-0.11083413
160,160,0.028361147
161,161,-0.003204025
162,162,-0.378461292
163,163,-0.16609897
164,164,-0.318990024
165,165,0.136386181
166,166,0
167,167,0.049518757
168,168,0
169,169,0.302371578
170,170,0.136386181
171,171,0
172,172,0.136386181
173,173,0
174,174,0
175,175,0.136386181
176,176,0.049518757
177,177,0
178,178,0
179,179,0
180,180,0
181,181,0.136386181
182,182,0.067082039
183,183,0.214537955
184,184,0.136386181
185,185,0.136386181
186,186,0.302371578
187,187,0.136386181
188,188,0.136386181
189,189,0
190,190,0.136386181
191,191,0.302371578
192,192,0.136386181
193,193,0.136386181
194,194,0.136386181
195,195,0
196,196,0
197,197,0
198,198,0
199,199,0.125183629
200,200,0
201,201,0.136386181
202,202,0.049518757
203,203,0.136386181
204,204,0.136386181
205,205,0
206,206,0.055901699
207,207,0.136386181
208,208,0.049518757
209,209,0.302371578
210,210,0.136386181
211,211,0.049518757
212,212,0.145344419
213,213,0.136386181
214,214,0.049518757
215,215,0
216,216,0.049518757
217,217,0.055901699
218,218,0.136386181
219,219,0
220,220,-0.012645494
221,221,-0.062648224
222,222,0
223,223,0.136386181
224,224,0.136386181
